NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,DP05_0070E,DP02_0056E,DP02_0057E,DP04_0091E,DP03_0119PE
Geographic Area Name,Total Population,Average Family Size,LOTE,Mean Travel Time to Work,hispanic or latino,high school enrollment,college or graduate school enrollment,median mortgage status of owners with mortgage,Percent In Poverty
"Nicoma Park city, Oklahoma",2389,3.17,41,22.6,2389,150,79,391,6.3
"Comanche city, Oklahoma",1477,3.01,30,18.2,1477,63,19,126,18.7
"Empire City town, Oklahoma",969,3.26,0,18.9,969,84,29,115,8.9
"Granite town, Oklahoma",1945,3.08,87,22.9,1945,94,62,148,16.3
"Seminole city, Oklahoma",7384,3.43,365,20.8,7384,457,555,706,19.7
"Canute town, Oklahoma",508,2.86,29,17.1,508,30,10,45,23.3
"Wann town, Oklahoma",125,3.08,0,25.1,125,6,8,17,2.6
"Maud city, Oklahoma",1190,3.38,58,33,1190,71,36,125,17.8
"Wewoka city, Oklahoma",3396,2.98,166,18.9,3396,201,110,272,29.1
"Erick city, Oklahoma",948,2.94,39,20.8,948,69,21,42,16.1
"Horntown town, Oklahoma",123,3.58,3,25.2,123,2,4,8,3
"Lamar town, Oklahoma",170,3.17,3,59.3,170,14,8,18,19.6
"Hitchita town, Oklahoma",80,3.47,0,32.3,80,3,3,5,21.1
"Rentiesville town, Oklahoma",147,2.16,0,26.4,147,2,3,34,5.9
"Evening Shade CDP, Oklahoma",256,2.78,0,19.5,256,8,11,46,14.3
"Notchietown CDP, Oklahoma",206,3.07,11,N,206,22,0,19,0
"Kinta town, Oklahoma",264,3.42,0,23.6,264,33,3,34,29
"Woodall CDP, Oklahoma",781,3.81,54,24,781,25,56,96,21.7
"Butler town, Oklahoma",271,2.51,27,18,271,10,2,21,35.4
"Pin Oak Acres CDP, Oklahoma",410,2.97,0,20.7,410,35,0,35,26.3
"Sams Corner CDP, Oklahoma",177,2.64,0,19.3,177,17,18,42,16.4
"Brooksville town, Oklahoma",48,3.09,0,N,48,5,5,4,0
"Custer City town, Oklahoma",349,2.98,36,25.5,349,22,13,36,20
"Talala town, Oklahoma",340,3.7,2,26.9,340,24,7,59,26
"Gregory CDP, Oklahoma",122,3.77,51,19.3,122,19,10,35,0
"Limestone CDP, Oklahoma",548,2.75,39,25.1,548,39,44,123,0
"Carter town, Oklahoma",234,3.41,4,20.3,234,21,10,31,17.2
"Hickory town, Oklahoma",108,3.22,5,25.5,108,18,0,15,29.6
"Albion town, Oklahoma",91,2.92,0,20,91,2,0,8,12
"Clayton town, Oklahoma",652,3.08,0,23.4,652,32,8,47,13.5
"Fairland town, Oklahoma",1117,3.22,16,18.6,1117,55,49,141,17.8
"Tulsa city, Oklahoma",401352,3.15,65464,18.4,401352,19119,25520,50770,15.8
"Guymon city, Oklahoma",11859,3.7,4647,15.3,11859,726,402,1342,14.1
"Cedar Valley city, Oklahoma",529,2.79,119,32.2,529,44,17,145,2.8
"Henryetta city, Oklahoma",5726,3.13,308,22.1,5726,224,143,699,18.9
"Winchester town, Oklahoma",541,3.39,16,34,541,17,26,91,5.5
"Watts town, Oklahoma",305,3.36,18,24.7,305,18,0,27,39.7
"Warwick town, Oklahoma",95,2.49,0,35,95,0,0,15,0
"Lehigh city, Oklahoma",300,3.32,2,22.9,300,40,10,39,9.2
"Coyle town, Oklahoma",286,2.91,1,23.2,286,6,10,37,26.6
"Marshall town, Oklahoma",289,3.53,14,30.1,289,13,31,40,13.9
"Wellston town, Oklahoma",888,3.02,0,26.5,888,56,35,134,7.6
"Arcadia town, Oklahoma",176,2.95,0,23.7,176,14,7,24,0
"Del City city, Oklahoma",21888,3.14,1318,19.4,21888,933,1198,2899,11
"Luther town, Oklahoma",1176,3.29,19,33.8,1176,56,70,181,7.9
"Loco town, Oklahoma",125,3.21,3,26.2,125,2,2,4,18.2
"Meridian town, Oklahoma",31,2.38,0,N,31,4,3,7,0
"Optima town, Oklahoma",431,4.26,213,15.6,431,45,8,26,15.7
"Alderson town, Oklahoma",230,3.03,0,16.7,230,16,3,31,19.4
"Meno town, Oklahoma",187,3.12,32,26.1,187,8,7,23,15.8
"Crowder town, Oklahoma",411,3.07,19,22.3,411,23,16,45,11
"Longtown CDP, Oklahoma",2798,2.43,24,29.2,2798,83,43,545,12.2
"Lenapah town, Oklahoma",293,3.34,2,29.8,293,10,5,29,23.9
"Deer Creek town, Oklahoma",148,2.63,7,16.4,148,20,10,14,20
"Lamont town, Oklahoma",282,3.21,4,20.1,282,41,9,19,14.7
"Medford city, Oklahoma",1153,3.12,73,15.6,1153,61,20,187,7.9
"Bethany city, Oklahoma",19508,3.27,2487,20.4,19508,1165,1514,2460,10.9
"Choctaw city, Oklahoma",12228,3.12,187,28.4,12228,691,668,2317,3.9
"Edmond city, Oklahoma",89769,3.1,6859,22.3,89769,4666,9365,15556,6.6
"Warr Acres city, Oklahoma",10385,3.41,2289,21.1,10385,874,943,1393,12.5
"Peoria town, Oklahoma",110,2.77,2,28.3,110,6,6,13,26.7
"Dibble town, Oklahoma",957,3.54,35,36.2,957,56,54,172,5.3
"Afton town, Oklahoma",1176,3.43,55,24.9,1176,70,49,122,31.8
"North Miami town, Oklahoma",366,3.12,24,14.4,366,19,15,29,19.8
"Kremlin town, Oklahoma",207,2.9,7,24,207,24,2,51,1.7
"Cooperton town, Oklahoma",7,-,0,N,7,0,0,2,-
"Claremore city, Oklahoma",18777,2.89,822,20.6,18777,955,1422,2541,10.9
"Foyil town, Oklahoma",251,3.03,11,26.4,251,16,10,37,28.3
"Remy CDP, Oklahoma",538,2.83,72,34.7,538,31,9,68,0
"Gould town, Oklahoma",130,2.91,49,16.9,130,10,1,26,0
"Marietta city, Oklahoma",2699,3.83,729,19.5,2699,194,93,196,18.2
"Foraker town, Oklahoma",4,-,2,-,4,0,0,2,-
"Brent CDP, Oklahoma",876,3.01,17,20.7,876,92,18,139,12.6
"Redbird Smith CDP, Oklahoma",391,2.95,0,36.2,391,5,16,57,28.6
"Manitou town, Oklahoma",193,2.35,0,30.6,193,15,0,26,16.2
"Porter town, Oklahoma",638,3.42,5,28.6,638,41,20,57,9.8
"Amorita town, Oklahoma",11,3.5,0,N,11,3,0,2,0
"Kaw City city, Oklahoma",320,2.68,3,25.7,320,9,11,51,10.5
"Leedey town, Oklahoma",460,3.47,32,16.9,460,54,11,50,18
"Oakwood town, Oklahoma",23,2.13,0,N,23,0,0,2,0
"Seiling city, Oklahoma",925,3.83,143,16.2,925,53,41,91,20.9
"Tonkawa city, Oklahoma",3109,3.03,195,16,3109,198,244,411,17.3
"Dacoma town, Oklahoma",85,2.67,2,16.1,85,1,2,1,0
"Soper town, Oklahoma",221,3.05,0,26.5,221,10,3,11,22.8
"Terral town, Oklahoma",395,2.94,75,36.8,395,24,6,41,9.6
"Bokoshe town, Oklahoma",435,3.33,0,29.1,435,20,10,38,27.4
"Union City town, Oklahoma",1576,3.07,76,26.9,1576,79,101,232,3.7
"Hinton town, Oklahoma",3251,3.35,894,20.4,3251,144,114,315,5.2
"Jenks city, Oklahoma",20836,3.27,1586,21.8,20836,1401,1082,4542,3.6
"Owasso city, Oklahoma",34634,3.21,2086,21.1,34634,2248,1869,6493,4.8
"Fort Towson town, Oklahoma",542,3.08,13,22.5,542,29,15,34,25.6
"Cayuga CDP, Oklahoma",130,4.17,0,33.9,130,21,13,13,8.7
"Cloud Creek CDP, Oklahoma",69,4.6,0,N,69,8,14,0,0
"Jay city, Oklahoma",2486,3.63,239,19.8,2486,133,40,247,22.3
"New Eucha CDP, Oklahoma",656,3.65,86,24.3,656,23,16,60,18
"Oaks town, Oklahoma",286,3.44,36,26.5,286,32,6,21,28.8
"West Siloam Springs town, Oklahoma",1005,3.67,113,23.2,1005,30,33,78,11.2
"Milburn town, Oklahoma",372,3.29,7,33.5,372,14,14,48,17.2
"Disney town, Oklahoma",202,2.42,5,28.7,202,3,2,29,22.6
"Locust Grove town, Oklahoma",1449,3.54,75,22.6,1449,132,83,127,29.8
"Pensacola town, Oklahoma",102,3.78,4,35,102,12,7,15,30.4
"Texanna CDP, Oklahoma",2364,2.48,90,31.2,2364,94,22,353,12.7
"Drumright city, Oklahoma",2880,2.92,74,18.1,2880,223,79,315,13
"Longdale town, Oklahoma",375,3.04,7,25.1,375,29,2,8,44
"Paoli town, Oklahoma",643,3.22,71,23.8,643,37,26,58,16.7
"Sasakwa town, Oklahoma",111,3.7,3,25.7,111,0,9,7,29.6
"Geary city, Oklahoma",1255,3.17,94,19,1255,48,31,73,24
"Yukon city, Oklahoma",25729,3.51,1390,22.3,25729,1301,1470,4304,6
"Cyril town, Oklahoma",1113,3.7,91,24.9,1113,80,59,109,11.4
"Gracemont town, Oklahoma",225,2.95,14,29.3,225,8,3,19,23.6
"Norge town, Oklahoma",156,3.09,0,16.8,156,4,6,18,14.9
"Wister town, Oklahoma",1090,3.02,12,24.1,1090,72,20,156,19.1
"Belfonte CDP, Oklahoma",295,3.57,90,33.5,295,30,10,44,24.3
"Marble City town, Oklahoma",225,3.46,43,29.2,225,20,6,20,38.6
"Moffett town, Oklahoma",129,3,0,23.9,129,5,2,6,45.7
"Vici town, Oklahoma",782,2.98,10,21.2,782,8,8,80,8.5
"Blackwell city, Oklahoma",6845,3.15,440,19,6845,314,249,690,15.2
"Davis city, Oklahoma",2774,3.61,193,20.4,2774,184,69,288,13.4
"Dougherty town, Oklahoma",260,3.03,0,27,260,14,2,30,0
"Kansas town, Oklahoma",906,3.47,96,25.6,906,104,11,118,20.3
"Twin Oaks CDP, Oklahoma",171,2.69,0,N,171,26,0,30,17.6
"Bromide town, Oklahoma",126,2.85,8,30,126,4,5,24,0
"Chouteau town, Oklahoma",2132,2.92,73,19,2132,154,93,294,13.1
"Murphy CDP, Oklahoma",175,2.57,0,N,175,0,0,9,24.6
"Snake Creek CDP, Oklahoma",278,3.08,58,28.8,278,8,21,39,0
"Spavinaw town, Oklahoma",375,2.83,18,29.4,375,26,7,36,32.2
"Strang town, Oklahoma",86,3.94,9,21,86,8,3,7,52.9
"Asher town, Oklahoma",426,3.26,11,27.3,426,34,4,38,24.5
"Macomb town, Oklahoma",25,3.33,0,20,25,3,0,1,0
"Binger town, Oklahoma",681,3.36,11,21.2,681,44,12,47,10.6
"Bridgeport city, Oklahoma",90,2.88,9,23.6,90,1,2,9,7.7
"Hydro town, Oklahoma",1012,3.12,6,18.5,1012,56,12,105,13
"Cameron town, Oklahoma",307,3.31,1,22.8,307,14,5,26,34.6
"Heavener city, Oklahoma",3338,3.51,1009,19.2,3338,217,68,254,31.9
"Temple town, Oklahoma",920,3.23,9,32.6,920,25,10,105,13.4
"Hobart city, Oklahoma",3609,2.9,367,16.5,3609,233,75,303,25.4
"Eldon CDP, Oklahoma",150,3.05,21,37,150,0,9,30,0
"Keys CDP, Oklahoma",416,3.89,0,N,416,0,10,64,14.6
"Zeb CDP, Oklahoma",612,3.56,29,22.5,612,15,37,81,19.4
"Coweta city, Oklahoma",9549,3.19,225,26.2,9549,531,410,1723,8.8
"Durant city, Oklahoma",17198,3.11,1167,15.5,17198,548,2125,1481,18.6
"Francis town, Oklahoma",273,3.07,5,22,273,7,16,27,24
"Agra town, Oklahoma",302,3.1,0,23.2,302,11,8,34,15.9
"Midwest City city, Oklahoma",57167,3.12,2542,20.2,57167,2484,3416,8591,11.8
"Central High town, Oklahoma",1000,2.73,29,24.1,1000,75,30,166,6.7
"The Village city, Oklahoma",9329,2.95,777,20.5,9329,186,739,1827,8.4
"Duncan city, Oklahoma",22998,3.14,1663,18.6,22998,1298,853,3038,12.2
"Willow town, Oklahoma",148,2.75,6,29.9,148,1,3,23,2.8
"Mulhall town, Oklahoma",284,4.2,3,40.5,284,29,0,22,14.8
"Orlando town, Oklahoma",136,3.81,0,25.8,136,15,5,15,23.1
"Le Flore town, Oklahoma",147,3.31,3,21.9,147,10,3,21,17.9
"Dwight Mission CDP, Oklahoma",33,5.5,0,N,33,0,0,6,0
"Wapanucka town, Oklahoma",404,3.4,12,26.3,404,30,0,43,27.8
"Oklahoma City city, Oklahoma",629191,3.3,117032,21.3,629191,31803,39816,88661,12.8
"Fort Supply town, Oklahoma",414,3.19,22,17,414,25,10,47,17.4
"Woodward city, Oklahoma",12687,3.39,1451,16.3,12687,726,354,1534,8.5
"Atoka city, Oklahoma",3077,2.81,107,16,3077,133,70,272,28.4
"Hendrix town, Oklahoma",67,2.85,6,29.4,67,5,3,8,15
"Leon town, Oklahoma",88,2.82,0,18,88,2,2,3,13.6
"Avant town, Oklahoma",275,2.96,0,22.8,275,10,9,24,14.3
"Frederick city, Oklahoma",3721,3.18,857,18.3,3721,171,118,380,22.2
"Catoosa city, Oklahoma",7524,3,826,20.7,7524,356,390,1066,12.5
"Keyes town, Oklahoma",260,2.96,35,14,260,8,22,18,8.6
"Alva city, Oklahoma",5167,2.98,363,11.6,5167,250,703,537,9.3
"Fort Cobb town, Oklahoma",609,2.98,6,22,609,44,1,63,16
"Lookeba town, Oklahoma",142,3.9,24,28.8,142,15,4,10,23.3
"Boley town, Oklahoma",1201,2.85,27,17,1201,17,19,13,48.1
"Rush Springs town, Oklahoma",1198,3.03,0,21.6,1198,61,8,136,14.5
"Verden town, Oklahoma",634,3.29,10,26.7,634,38,28,77,15.5
"Pocola town, Oklahoma",4042,3.15,15,20.2,4042,223,203,583,19.5
"Rock Island town, Oklahoma",826,3.05,15,28.3,826,54,15,140,15.3
"Talihina town, Oklahoma",1054,3.14,22,18.2,1054,63,57,94,24.4
"Weleetka town, Oklahoma",774,3.24,76,21.9,774,13,36,53,20.5
"Depew town, Oklahoma",414,3.35,0,26.4,414,33,5,34,24
"Cherry Tree CDP, Oklahoma",1125,4.19,242,19.2,1125,75,36,85,23.6
"Forgan town, Oklahoma",582,2.98,44,16.2,582,26,4,46,16.3
"Lawrence Creek town, Oklahoma",153,3.28,0,34.1,153,4,2,23,14
"Mounds town, Oklahoma",1124,3.52,15,24.9,1124,115,33,113,20.8
"Burns Flat town, Oklahoma",2270,3.56,74,22,2270,130,41,204,14
"Cleo Springs town, Oklahoma",367,3.15,9,20.3,367,17,9,41,14
"East Duke town, Oklahoma",366,2.76,25,12.3,366,18,1,36,6.3
"Elmer town, Oklahoma",116,2.63,16,35.6,116,4,5,7,14.3
"Ames town, Oklahoma",249,2.86,2,23.8,249,6,10,28,6.8
"Canadian town, Oklahoma",195,3.11,0,17.4,195,16,9,13,12.5
"Cimarron City town, Oklahoma",173,2.98,0,29.6,173,9,2,33,4.8
"Beggs city, Oklahoma",1376,3.46,32,25.6,1376,76,42,132,23
"Grayson town, Oklahoma",135,2.84,0,26.9,135,7,3,10,13.2
"Okmulgee city, Oklahoma",12123,3.11,500,18.9,12123,516,1133,1002,26.2
"Schulter town, Oklahoma",402,3.17,0,23.6,402,10,20,50,14
"Hooker city, Oklahoma",1660,3.64,547,17.9,1660,103,27,237,7.4
"Tyrone town, Oklahoma",672,4.18,127,24.7,672,84,18,79,10.9
"Wakita town, Oklahoma",282,2.49,6,17,282,8,3,19,0
"Fallis town, Oklahoma",8,-,0,-,8,0,0,0,-
"Prague city, Oklahoma",2144,3.14,43,21.4,2144,78,77,258,8.4
"Sparks town, Oklahoma",161,3.91,5,26.6,161,11,6,18,17.6
"Forest Park town, Oklahoma",1128,3.16,52,19,1128,40,48,227,12.5
"Spencer city, Oklahoma",4024,3.28,124,26,4024,99,206,637,7.3
"Bray town, Oklahoma",1243,3.41,30,25.9,1243,78,23,170,10.8
"Marlow city, Oklahoma",4553,3.09,90,20.8,4553,297,54,517,18.2
"Meridian CDP, Oklahoma",1667,3.19,230,16.9,1667,56,82,297,4.1
"Westville town, Oklahoma",1573,3.35,44,23.1,1573,80,42,153,38.7
"Ashland town, Oklahoma",39,2.42,0,28.8,39,0,1,5,0
"Kellyville town, Oklahoma",1366,3.54,29,26.2,1366,116,28,139,19.6
"Clinton city, Oklahoma",9344,3.39,2138,16.8,9344,546,186,782,9.5
"Sentinel town, Oklahoma",876,3.23,137,18.1,876,41,27,95,11.3
"Erin Springs town, Oklahoma",153,2.58,0,6.3,153,0,0,27,29.1
"Wilburton city, Oklahoma",2699,3.1,146,16.2,2699,140,255,270,16.8
"Cromwell town, Oklahoma",263,3.42,3,22.8,263,25,5,22,28.4
"Waukomis town, Oklahoma",1526,3,28,19.7,1526,103,68,259,12.3
"Vinita city, Oklahoma",5512,3.07,175,16.8,5512,268,234,663,17
"Stidham town, Oklahoma",7,2,0,N,7,0,0,0,33.3
"Ochelata town, Oklahoma",443,3.03,8,26.6,443,29,17,55,8.9
"Stonewall town, Oklahoma",404,2.97,11,20.2,404,19,6,32,27.2
"Canton town, Oklahoma",418,3.04,9,13.7,418,14,0,62,0
"Greenfield town, Oklahoma",126,1.72,3,20.9,126,4,24,29,50
"Moore city, Oklahoma",59992,3.11,4059,22.8,59992,2759,4599,11136,6.5
"Norman city, Oklahoma",119820,2.97,12325,22.4,119820,4918,26163,16423,10
"Buffalo town, Oklahoma",1168,3.32,209,15.3,1168,56,60,65,3
"Blanchard city, Oklahoma",8403,3.11,312,28.9,8403,543,361,1726,6.8
"Morrison town, Oklahoma",675,2.78,2,20.3,675,23,25,126,17.7
"Texola town, Oklahoma",47,3.56,0,N,47,0,0,0,22.2
"Big Cabin town, Oklahoma",225,2.86,2,26,225,10,8,26,15.4
"Breckenridge town, Oklahoma",137,3.05,0,25,137,10,2,15,5.1
"Strong City town, Oklahoma",56,3.62,0,30.9,56,0,5,10,0
"Kiefer town, Oklahoma",2434,3.27,58,22.8,2434,199,97,487,11
"Dewey city, Oklahoma",3485,3.27,235,21,3485,190,95,579,15
"Okeene town, Oklahoma",1217,2.53,91,10.6,1217,60,23,181,11.7
"Laverne town, Oklahoma",1646,4.01,483,22.4,1646,93,23,192,18.3
"Vera town, Oklahoma",204,3.1,2,31.5,204,6,8,28,11.9
"Maysville town, Oklahoma",1290,3.27,11,25.8,1290,62,21,130,16.5
"Hillsdale town, Oklahoma",141,3.33,0,18.9,141,9,2,19,0
"Fairmont town, Oklahoma",255,2.92,0,21.3,255,6,4,54,11.4
"Olustee town, Oklahoma",661,3.56,109,23.1,661,48,38,72,19.2
"Pink town, Oklahoma",2164,3.15,31,32.7,2164,145,87,312,11.9
"Boynton town, Oklahoma",185,3.18,0,28.4,185,15,3,36,28.2
"Ada city, Oklahoma",17262,3.05,1153,14.1,17262,535,2281,1718,15.8
"Colony town, Oklahoma",107,3.04,4,22.9,107,3,0,19,7.1
"Dustin town, Oklahoma",430,3.94,23,22,430,22,6,27,39.3
"Deer Lick CDP, Oklahoma",0,-,0,-,0,0,0,0,-
"Drowning Creek CDP, Oklahoma",203,3.14,0,N,203,0,8,10,56.8
"Indianola CDP, Oklahoma",33,1.94,0,-,33,0,0,0,0
"Kenwood CDP, Oklahoma",1029,3.27,211,34.6,1029,63,23,124,22.2
"White Water CDP, Oklahoma",53,4.44,0,N,53,0,7,13,0
"Lebanon CDP, Oklahoma",306,3.3,0,23.7,306,13,13,34,0
"Swink CDP, Oklahoma",73,3.16,0,21.4,73,2,2,5,42.1
"Grant CDP, Oklahoma",326,2.87,0,17.4,326,20,7,38,27.7
"Whitesboro CDP, Oklahoma",178,3.3,0,18.4,178,10,6,22,25
"Latta CDP, Oklahoma",1247,3.44,51,17.2,1247,60,59,155,24.7
"Lequire CDP, Oklahoma",160,3.33,27,32.4,160,17,6,9,17.4
"Blanco CDP, Oklahoma",129,4.24,0,24.8,129,6,5,15,0
"Burneyville CDP, Oklahoma",547,2.79,0,28.4,547,20,18,109,2.7
"Panola CDP, Oklahoma",46,2.19,0,21.4,46,2,1,12,25
"Platter CDP, Oklahoma",173,2.61,0,N,173,0,0,46,0
"Gowen CDP, Oklahoma",340,2.81,0,24.4,340,20,0,12,19.8
"Clarita CDP, Oklahoma",114,4.22,0,N,114,6,6,6,27.8
"Coleman CDP, Oklahoma",218,2.87,14,22.3,218,3,0,12,6.7
"Connerville CDP, Oklahoma",32,-,0,N,32,0,0,0,-
"Wardville CDP, Oklahoma",45,2.24,3,N,45,0,0,9,0
"Monroe CDP, Oklahoma",167,3.07,0,24.9,167,5,9,11,6.8
"Rose CDP, Oklahoma",214,3.36,0,N,214,13,8,31,0
"Gideon CDP, Oklahoma",19,6.33,0,N,19,0,0,0,0
"Grandview CDP, Oklahoma",447,2.63,47,25.1,447,86,22,77,0
"Peggs CDP, Oklahoma",849,3.36,24,29,849,27,27,128,3.9
"Steely Hollow CDP, Oklahoma",171,3.93,3,N,171,17,13,13,6.7
"Teresita CDP, Oklahoma",143,3.2,0,31.6,143,0,0,11,6.7
"Arpelar CDP, Oklahoma",284,2.79,8,20.5,284,9,15,46,26.3
"Bison CDP, Oklahoma",51,2.69,11,N,51,0,8,19,18.8
"Liberty CDP, Oklahoma",301,3.06,0,26.4,301,7,6,49,12.2
"McLoud city, Oklahoma",4616,3.26,274,31.3,4616,325,211,463,13.9
"Carlton Landing town, Oklahoma",10,1.75,0,N,10,0,0,2,0
"Fairfax town, Oklahoma",1394,3.04,25,22,1394,65,31,122,13.5
"Osage town, Oklahoma",130,2.73,0,37.8,130,2,4,11,9.1
"Salina town, Oklahoma",1282,3.07,46,20.3,1282,89,55,126,14
"Arnett town, Oklahoma",581,3.08,1,14.8,581,30,17,47,7.7
"Braggs town, Oklahoma",279,3.32,3,33.7,279,11,5,33,13.3
"Hennessey town, Oklahoma",2420,3.24,643,15.9,2420,121,66,254,10.3
"Loyal town, Oklahoma",77,3.16,0,27.2,77,0,2,10,0
"Tatums town, Oklahoma",145,3.57,3,23.5,145,13,2,15,30
"Wilson city, Oklahoma",1470,3.37,10,22.5,1470,83,67,155,13.1
"Iron Post CDP, Oklahoma",217,3.44,0,22.1,217,16,0,39,14.3
"Mazie CDP, Oklahoma",186,2.24,0,N,186,0,17,63,0
"Wickliffe CDP, Oklahoma",8,-,0,N,8,0,0,8,-
"Earlsboro town, Oklahoma",493,2.9,15,21.9,493,40,4,56,8.8
"Johnson town, Oklahoma",231,2.99,8,22.4,231,11,19,35,11.1
"St. Louis town, Oklahoma",122,2.5,0,27.6,122,1,2,13,15
"Shawnee city, Oklahoma",30974,3.15,1513,18.4,30974,1394,2595,3619,15.2
"Calumet town, Oklahoma",668,3.82,33,22.1,668,30,39,48,19.9
"Anadarko city, Oklahoma",6710,3.81,697,19.2,6710,459,168,511,32.1
"Bradley town, Oklahoma",126,2.83,0,18,126,7,2,19,30.6
"Roff town, Oklahoma",744,3.68,35,20,744,44,21,80,18.6
"Hominy city, Oklahoma",3467,2.91,182,30.4,3467,131,95,202,18
"Prue town, Oklahoma",381,3.11,1,35.9,381,27,10,49,24.7
"Wynona town, Oklahoma",387,3.11,2,24,387,25,9,30,13.3
"Grandfield city, Oklahoma",869,2.97,91,19.5,869,36,25,50,22.5
"Brush Creek CDP, Oklahoma",18,-,0,-,18,0,0,0,-
"Bull Hollow CDP, Oklahoma",78,2.3,36,N,78,0,0,12,26.7
"Leach CDP, Oklahoma",291,3.24,15,33.1,291,21,9,71,8.9
"Cleveland city, Oklahoma",3180,3.24,63,20.1,3180,225,99,352,11.9
"Collinsville city, Oklahoma",6536,3.19,227,23.5,6536,408,389,1214,11.7
"Briggs CDP, Oklahoma",319,3.58,31,23.2,319,15,5,38,25.7
"Dry Creek CDP, Oklahoma",201,2.92,4,46.1,201,19,4,31,26.9
"Hulbert town, Oklahoma",657,4.31,5,27.3,657,34,23,46,23.6
"Welling CDP, Oklahoma",771,3.73,6,35,771,58,36,93,1.7
"Stigler city, Oklahoma",2713,2.99,103,18.1,2713,117,63,252,24
"Broken Bow city, Oklahoma",4101,3.24,422,18,4101,368,175,273,31
"Haworth town, Oklahoma",291,3.04,14,19.9,291,19,5,21,44.9
"Idabel city, Oklahoma",6954,3.04,558,16.7,6954,266,269,491,24.9
"Pawnee city, Oklahoma",2076,3.05,133,14.9,2076,144,33,131,21.8
"Okarche town, Oklahoma",1346,3.22,0,17.1,1346,47,38,146,4.3
"Piedmont city, Oklahoma",7079,3.52,185,29.3,7079,523,473,1551,1.6
"Fort Gibson town, Oklahoma",4097,2.97,83,18.2,4097,302,161,691,15
"Muskogee city, Oklahoma",38139,3.09,2766,16.8,38139,1951,2051,4796,20
"Oktaha town, Oklahoma",388,2.99,0,26.6,388,16,10,46,21.6
"River Bottom CDP, Oklahoma",203,2.36,0,36.5,203,18,3,29,9.7
"Sour John CDP, Oklahoma",70,2.4,6,36,70,0,0,8,16
"Devol town, Oklahoma",134,3.28,6,26.2,134,0,0,8,0
"Walters city, Oklahoma",2779,3.15,40,20.2,2779,178,116,375,13.4
"Jennings town, Oklahoma",314,2.95,0,24.2,314,22,6,19,18.4
"Oak Grove town, Oklahoma",0,-,0,-,0,0,0,0,-
"Skedee town, Oklahoma",30,2.67,0,36.8,30,0,0,5,22.2
"Fair Oaks town, Oklahoma",90,3.3,0,28.3,90,6,4,10,8.7
"Okay town, Oklahoma",466,2.91,4,19.3,466,28,16,50,17.3
"Caddo town, Oklahoma",1167,3.29,17,24,1167,62,46,109,10.7
"Silo town, Oklahoma",391,3.25,4,23.6,391,19,18,70,13.2
"Allen town, Oklahoma",865,3.16,44,22.7,865,45,28,89,20.8
"Carnegie town, Oklahoma",2028,3.5,282,20.3,2028,86,33,150,28.4
"Ryan town, Oklahoma",741,3.21,68,29.4,741,22,12,86,23.2
"Oakland town, Oklahoma",1035,3.2,468,19.6,1035,51,57,128,12.4
"El Reno city, Oklahoma",18378,3.67,2207,19.1,18378,893,856,1904,12.3
"Cement town, Oklahoma",388,3.37,2,33.5,388,15,13,8,17.6
"Fort Coffee town, Oklahoma",525,2.7,2,28.5,525,34,58,106,40.1
"Poteau city, Oklahoma",8729,3.05,987,22.3,8729,424,557,994,19
"Shady Point town, Oklahoma",990,3.37,9,26.3,990,59,41,141,19.4
"Castle town, Oklahoma",161,3.81,1,21.4,161,9,1,20,32.4
"Gore town, Oklahoma",1019,3.08,45,20.2,1019,47,30,111,15.5
"Short CDP, Oklahoma",328,3.38,0,35.2,328,17,3,56,37.8
"Kingfisher city, Oklahoma",4821,3.3,443,18.4,4821,190,88,846,10.1
"Ratliff City town, Oklahoma",108,2.62,1,10.7,108,2,2,4,18.9
"Rattan town, Oklahoma",313,3.14,3,24,313,7,14,37,17.5
"Stringtown town, Oklahoma",372,2.77,2,16.3,372,20,4,48,7.1
"Achille town, Oklahoma",386,3.06,10,24,386,17,14,36,9.9
"Bokchito town, Oklahoma",648,3.54,13,26.5,648,18,14,57,16.3
"Mead town, Oklahoma",102,2.75,1,15.6,102,5,9,13,7.1
"Dodge CDP, Oklahoma",118,2.57,4,N,118,0,0,20,0
"Grove city, Oklahoma",6791,2.78,321,18.6,6791,382,269,1132,12
"Ravia town, Oklahoma",466,3.42,9,26.3,466,16,19,58,19.5
"Ballou CDP, Oklahoma",204,3.05,31,27.8,204,25,0,34,15.9
"Panama town, Oklahoma",1240,2.98,18,27.9,1240,49,25,140,27.4
"Warner town, Oklahoma",1605,3.14,20,24.5,1605,76,314,135,16.1
"Eakly town, Oklahoma",344,4.21,101,21.3,344,16,2,26,25
"Alex town, Oklahoma",560,3.42,0,20.9,560,33,11,43,18.5
"Chickasha city, Oklahoma",16256,3.14,1169,21.7,16256,627,702,1897,16.3
"Howe town, Oklahoma",912,3.34,15,27.8,912,46,24,96,14.1
"Brushy CDP, Oklahoma",1063,3.73,33,26.8,1063,56,26,131,19.6
"Flute Springs CDP, Oklahoma",98,3.4,58,33.6,98,8,0,5,36
"Long CDP, Oklahoma",372,2.99,8,44.9,372,18,0,41,32.6
"Vian town, Oklahoma",1420,2.93,85,23.2,1420,123,63,132,30.4
"Cleora CDP, Oklahoma",1402,2.59,28,29.6,1402,46,23,252,8.4
