NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,DP05_0070E,DP02_0056E,DP02_0057E,DP04_0091E,DP03_0119PE
Geographic Area Name,Total Population,Average Family Size,LOTE,Mean Travel Time to Work,hispanic or latino,high school enrollment,college or graduate school enrollment,median mortgage status of owners with mortgage,Percent In Poverty
"Fritch city, Texas",3028,3.79,58,20.6,3028,279,109,470,3.7
"Deport city, Texas",653,3.15,10,28,653,24,28,35,12.6
"Wharton city, Texas",8723,3.35,2500,24.4,8723,444,339,604,17.1
"Bangs city, Texas",1577,3.17,45,23.1,1577,81,54,243,9.8
"Anderson city, Texas",188,2.57,11,18.3,188,11,3,13,1.6
"Groves city, Texas",15775,3.22,3183,16.9,15775,962,359,1989,9.8
"Nederland city, Texas",17284,3.07,1727,18.1,17284,1201,1187,2672,6.6
"Seven Oaks city, Texas",91,3.68,0,N,91,3,6,7,13.6
"Benavides city, Texas",1685,3.25,1017,36.7,1685,124,43,58,21.6
"Marathon CDP, Texas",493,2.52,263,11.8,493,22,7,20,3.1
"Bastrop city, Texas",8164,3.2,1147,31,8164,541,223,1115,7
"La Feria city, Texas",7314,4.1,4141,21.1,7314,522,369,691,22
"San Benito city, Texas",24474,3.94,14506,19.5,24474,1684,1006,1585,36.7
"Tierra Bonita CDP, Texas",60,3.11,41,N,60,0,0,0,0
"Como town, Texas",758,3.41,256,21.1,758,42,13,43,26.8
"Fowlerton CDP, Texas",337,3.92,0,N,337,0,0,16,0
"Brownsville city, Texas",182083,4,143623,20.1,182083,14706,11294,15097,28.3
"University Park city, Texas",24692,3.33,2505,18.7,24692,1955,4023,4153,2.1
"Tioga town, Texas",921,2.93,163,31.4,921,40,30,141,12.4
"Van Alstyne city, Texas",3437,3.09,113,28.2,3437,95,118,426,10.5
"Odem city, Texas",2581,3.84,1370,22.1,2581,173,78,180,23.8
"Lago CDP, Texas",382,4.72,305,N,382,0,42,0,35.8
"New Deal town, Texas",714,3.64,217,22.8,714,34,23,74,16
"Chireno city, Texas",457,3.64,59,37.7,457,41,32,42,13.9
"Brenham city, Texas",16616,3.53,3169,14.5,16616,825,2115,1582,15.1
"Citrus City CDP, Texas",2843,4.48,2437,20.8,2843,292,25,273,71.8
"Buffalo city, Texas",1815,3.98,631,21.1,1815,127,63,144,27.6
"Donna city, Texas",16507,3.9,12174,20,16507,976,882,774,29
"Rocky Mound town, Texas",63,3.75,7,63.1,63,1,2,2,0
"Liverpool city, Texas",464,3.27,35,39.2,464,52,28,72,12.1
"New Hope town, Texas",665,2.92,44,33.5,665,31,20,130,10.3
"Eastland city, Texas",3888,4.82,788,14.1,3888,86,95,252,14.4
"Abernathy city, Texas",3144,3.05,692,19.5,3144,231,64,374,13.9
"Annetta South town, Texas",491,3.04,14,31.9,491,27,14,93,9.5
"East Tawakoni city, Texas",829,3.38,45,45.5,829,66,20,109,8.5
"Oilton CDP, Texas",307,3.06,281,36,307,21,0,20,47.7
"Timbercreek Canyon village, Texas",437,2.72,16,29.2,437,28,21,100,0.7
"Nocona city, Texas",2958,2.94,435,21.3,2958,165,102,356,21.5
"La Victoria CDP, Texas",123,3.32,123,N,123,0,0,0,0
"Hedley city, Texas",321,3.48,47,20.6,321,0,11,17,13.9
"Rockport city, Texas",10238,3.16,1253,17,10238,497,356,1041,13.8
"Beaumont city, Texas",118424,3.19,20700,18.5,118424,5786,7952,12356,15.1
"Waco city, Texas",131996,3.31,29473,17.7,131996,6048,20752,12280,18.7
"Winnsboro city, Texas",3392,3.44,260,16.6,3392,261,35,309,19.8
"Serenada CDP, Texas",1679,3.16,70,25.4,1679,145,72,292,0.6
"Falcon Heights CDP, Texas",0,-,0,-,0,0,0,0,-
"La Rosita CDP, Texas",34,5.67,34,N,34,5,17,0,0
"Rule town, Texas",632,3.1,121,16.2,632,16,11,9,31
"Celeste city, Texas",870,3.44,12,35.7,870,73,36,86,10.9
"Glenn Heights city, Texas",12257,3.8,2842,33.8,12257,670,587,2053,12.5
"Rising Star town, Texas",1070,4.89,84,14.7,1070,80,53,62,16.1
"Lake Kiowa CDP, Texas",2119,2.39,49,39.6,2119,116,11,518,5.5
"Lexington town, Texas",1330,3.14,47,29.8,1330,55,25,172,9.6
"Stinnett city, Texas",1462,3.18,134,17.9,1462,101,63,87,17.5
"Runaway Bay city, Texas",1880,3.07,150,29.9,1880,55,43,346,2.8
"Farwell city, Texas",1524,3.13,475,17.5,1524,105,62,207,12.6
"Lone Oak city, Texas",786,3.49,17,24.3,786,77,22,93,7.7
"Point Venture village, Texas",930,2.9,73,43.5,930,36,21,221,3.2
"Escobares city, Texas",2512,4.74,2202,20,2512,158,143,45,49.6
"Ames city, Texas",1164,3.7,20,28.9,1164,59,50,81,37.3
"Southmayd city, Texas",993,3.18,88,24.7,993,48,25,124,12.8
"Whitesboro city, Texas",3906,2.94,619,24,3906,220,280,489,13.7
"Whitewright town, Texas",1960,3.27,63,32.1,1960,123,126,225,17.6
"Idalou city, Texas",2123,3.16,613,18.8,2123,83,75,222,10.9
"Lubbock city, Texas",247323,3.18,52795,16.4,247323,11912,40769,27439,11.9
"Slaton city, Texas",6037,3.27,1299,19.3,6037,144,251,361,17.4
"Allen city, Texas",96865,3.41,22984,27.7,96865,7424,7058,18843,3.8
"Parker city, Texas",4388,3.62,994,31.4,4388,331,211,735,4.2
"Wheeler city, Texas",1612,2.98,596,16.7,1612,45,38,138,12.9
"Canton city, Texas",3716,2.96,204,24.4,3716,134,122,594,5.5
"Edgewood town, Texas",1927,3.71,177,33.5,1927,189,64,218,12.8
"Bayview town, Texas",447,3.3,77,26,447,28,25,77,3.5
"Del Mar Heights CDP, Texas",135,3.55,107,N,135,0,0,0,31.6
"El Camino Angosto CDP, Texas",178,4.92,84,-,178,0,76,0,100
"Indian Lake town, Texas",804,3.63,423,23.9,804,61,19,63,23.2
"Laguna Heights CDP, Texas",3174,4.38,2266,16.9,3174,181,71,194,36.4
"Socorro city, Texas",33587,4.01,27630,29.1,33587,2727,2748,2771,27.1
"Dayton city, Texas",7615,3.48,887,26.1,7615,384,301,685,8.9
"Highland Park town, Texas",9071,3.06,613,17.3,9071,374,323,1555,1.2
"Sunnyvale town, Texas",6077,3.41,1640,29.5,6077,592,419,1329,1.4
"Poteet city, Texas",3388,3.58,1388,24.2,3388,113,154,120,19.3
"Hughes Springs city, Texas",1813,3.58,92,23,1813,53,72,204,19.7
"Mertzon city, Texas",842,3.26,170,26.7,842,60,29,101,13.5
"Lolita CDP, Texas",911,3.42,382,12.3,911,36,0,88,9.2
"Roma Creek CDP, Texas",0,-,0,-,0,0,0,0,-
"Aubrey city, Texas",3126,3.16,207,29,3126,210,161,627,1.6
"Burke city, Texas",727,3.08,100,17,727,72,17,64,16.5
"Poynor town, Texas",291,3.8,0,31.6,291,4,12,45,17.4
"Homestead Meadows North CDP, Texas",5397,4.17,3782,27.7,5397,272,366,484,29.9
"Loraine town, Texas",478,2.85,185,22.7,478,7,21,22,8.1
"Dublin city, Texas",3614,3.45,1367,17.7,3614,136,237,474,28.6
"Stephenville city, Texas",19929,3.37,2850,17.1,19929,872,5247,1681,11.2
"Brazoria city, Texas",3088,2.99,320,22.3,3088,115,184,417,15.1
"Freeport city, Texas",12082,3.75,5948,15.7,12082,1080,251,510,20.9
"Aquilla city, Texas",166,2.87,0,24.1,166,1,2,5,15.4
